key,level,type,category,fullname,publisher,url
group,B,Conference,9,ACM Conference on Supporting Group Work,ACM,http://dblp.uni-trier.de/db/conf/group/
iui,B,Conference,9,ACM International Conference on Intelligent User Interfaces,ACM,http://dblp.uni-trier.de/db/conf/iui/
its,B,Conference,9,ACM International Conference on Interactive Tabletops and Surfaces,ACM,http://dblp.uni-trier.de/db/conf/tabletop/
ecscw,B,Conference,9,European Conference on Computer Supported Cooperative Work,Springer,http://dblp.uni-trier.de/db/conf/ecscw/
percom,B,Conference,9,IEEE International Conference on Pervasive Computing and Communications,IEEE,http://dblp.uni-trier.de/db/conf/percom/
mobilehci,B,Conference,9,International Conference on Human Computer Interaction with Mobile Devices and Services,ACM,http://dblp.uni-trier.de/db/conf/mhci/
icwsm,B,Conference,9,The International AAAI Conference on Web and Social Media,AAAI,https://dblp.org/db/conf/icwsm/index.html
dis,C,Conference,9,ACM Conference on Designing Interactive Systems,ACM,http://dblp.uni-trier.de/db/conf/ACMdis
icmi,C,Conference,9,ACM International Conference on Multimodal Interaction,ACM,http://dblp.uni-trier.de/db/conf/icmi/
assets,C,Conference,9,ACM SIGACCESS Conference on Computers and Accessibility,ACM,http://dblp.uni-trier.de/db/conf/assets
gi,C,Conference,9,Graphics Interface conference,ACM,http://dblp.uni-trier.de/db/conf/graphicsinterface/
uic,C,Conference,9,IEEE International Conference on Ubiquitous Intelligence and Computing,IEEE,http://dblp.uni-trier.de/db/conf/uic/
haptics,C,Conference,9,IEEE World Haptics Conference,IEEE,http://dblp.uni-trier.de/db/conf/haptics/
interact,C,Conference,9,IFIP TC13 Conference on Human-Computer Interaction,IFIP,http://dblp.uni-trier.de/db/conf/interact/
idc,C,Conference,9,Interaction Design and Children,ACM,http://dblp.uni-trier.de/db/conf/acmidc/
collaboratecom,C,Conference,9,"International Conference on Collaborative Computing: Networking, Applications and Worksharing",Springer,http://collaboratecom.org
cscwd,C,Conference,9,International Conference on Computer Supported Cooperative Work in Design,Springer,http://dblp.uni-trier.de/db/conf/cscwd/
coopis,C,Conference,9,International Conference on Cooperative Information Systems,Springer,http://dblp.uni-trier.de/db/conf/coopis/
